frame_index,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24
25,210.19036865234375,291.01495361328125,286.84613037109375,622.5135498046875,1912.0513916015625,320.6850280761719,691.5833740234375,1977.5010986328125,467.8824768066406,466.2550354003906,1207.5772705078125,1343.455810546875,474.6431579589844,1104.6031494140625,1378.96923828125,192.88397216796875,192.03671264648438,190.09898376464844,192.01377868652344,0.0,0.0,0.0,0.0,0.0,0.0
26,219.38430786132812,291.4990539550781,286.98760986328125,622.2987670898438,1911.652099609375,322.7512512207031,683.4613037109375,1936.8310546875,469.1399841308594,463.9119567871094,1132.993408203125,1343.4671630859375,474.72186279296875,1132.8726806640625,1380.2574462890625,206.46359252929688,205.70498657226562,192.2335662841797,196.85116577148438,0.0,0.0,0.0,0.0,0.0,0.0
27,230.02508544921875,312.5940856933594,292.2351989746094,612.0536499023438,1916.8040771484375,334.52880859375,677.0619506835938,1943.048583984375,463.3671569824219,465.11102294921875,1126.6800537109375,1343.43701171875,471.0580139160156,1142.6351318359375,1380.2706298828125,220.39015197753906,224.0862274169922,202.42092895507812,204.81423950195312,0.0,0.0,1381.6204833984375,0.0,0.0,0.0
28,229.96836853027344,305.5702819824219,288.0323791503906,608.5221557617188,1928.794921875,335.07208251953125,662.1156616210938,1878.05908203125,456.54620361328125,457.754638671875,1110.7523193359375,1344.496826171875,464.0624694824219,1135.6505126953125,1380.2890625,220.3668212890625,224.02064514160156,202.4987335205078,204.7902374267578,0.0,0.0,1381.6212158203125,0.0,0.0,0.0
29,239.14988708496094,302.9613037109375,294.9585266113281,599.8842163085938,1936.8048095703125,332.7333068847656,659.5868530273438,1922.30908203125,453.12249755859375,454.13214111328125,1054.441162109375,1343.4620361328125,452.4898681640625,1079.0093994140625,1380.25341796875,221.75440979003906,228.74301147460938,205.55081176757812,209.3453826904297,0.0,0.0,1381.6044921875,0.0,0.0,0.0
30,239.07708740234375,302.7952880859375,297.6985168457031,596.439697265625,1949.8985595703125,326.1136779785156,644.4044799804688,1925.36865234375,453.0621643066406,454.10687255859375,1047.755126953125,1343.4425048828125,452.469970703125,1087.829833984375,1378.956787109375,221.69454956054688,225.46649169921875,205.530029296875,209.38177490234375,0.0,0.0,1380.28759765625,0.0,0.0,0.0
31,243.86705017089844,308.3824768066406,303.8490295410156,602.188720703125,1921.4613037109375,326.4446716308594,656.9498291015625,1977.0711669921875,436.7064208984375,440.8941955566406,995.8704833984375,1342.3837890625,432.6295471191406,1049.24072265625,1377.658447265625,226.537841796875,230.5417938232422,226.00633239746094,224.63442993164062,0.0,0.0,0.0,0.0,0.0,0.0
32,252.94842529296875,312.902587890625,310.9919738769531,617.0067138671875,1887.6300048828125,323.187255859375,654.6460571289062,1940.1829833984375,431.8807067871094,436.11279296875,949.059814453125,1342.4161376953125,435.95697021484375,1007.3746337890625,1386.9261474609375,243.9865264892578,244.3141326904297,224.52426147460938,229.35874938964844,0.0,0.0,0.0,0.0,0.0,0.0
33,252.8993377685547,309.4699401855469,307.6170959472656,603.1036987304688,1865.653564453125,313.20684814453125,647.5116577148438,1940.7061767578125,428.1432800292969,432.35894775390625,962.8626708984375,1342.398681640625,424.46795654296875,1011.4256591796875,1380.2618408203125,240.59075927734375,244.2423095703125,224.47882080078125,229.51840209960938,0.0,0.0,0.0,0.0,0.0,0.0
34,257.02362060546875,317.5820007324219,317.0876159667969,594.4204711914062,1788.5938720703125,321.5079650878906,626.8901977539062,1902.701904296875,433.12921142578125,437.0559997558594,984.1530151367188,1342.400146484375,429.0337219238281,1005.3367309570312,1378.9595947265625,244.7429656982422,250.21214294433594,231.67442321777344,238.4639434814453,0.0,0.0,0.0,0.0,0.0,0.0
